,Disease,RNA,Relation,True_y
4400,D007889,654322,0.017435926216731446,0.0
4401,D007889,692073,0.019669936897039768,0.0
4402,D007889,677804,0.015253930651819871,0.0
4403,D007889,677824,0.019405158095302445,0.0
4404,D007889,677808,0.013832179403651175,0.0
4405,D007889,677809,0.018018563629033563,0.0
4406,D007889,677814,0.02008970005687527,0.0
4407,D007889,594839,0.01878787762919752,0.0
4408,D007889,677817,0.01807286176827528,0.0
4409,D007889,619562,0.015491070172859778,0.0
4410,D007889,677827,0.018086834881055214,0.0
4411,D007889,677842,0.00884230531967553,0.0
4412,D007889,677832,0.017928475179377318,0.0
4413,D007889,677836,0.02128259949656105,0.0
4414,D007889,677838,0.01988745615426809,0.0
4415,D007889,26779,0.02019678288653011,0.0
4416,D007889,100124538,0.014648406088417863,0.0
4417,D007889,26775,0.012302618518829782,0.0
4418,D007889,6080,0.019012051240835354,0.0
4419,D007889,677823,0.014333099470204794,0.0
4420,D007889,677847,0.02025914509796079,0.0
4421,D007889,677798,0.019583960490854084,0.0
4422,D007889,652966,0.01657016941629772,0.0
4423,D007889,594837,0.013849432884416667,0.0
4424,D007889,26771,0.017391526765171916,0.0
4425,D007889,692234,0.0187688380277996,0.0
4426,D007889,692235,0.018447538948150904,0.0
4427,D007889,692200,0.01424295779010103,0.0
4428,D007889,692227,0.012502970850470963,0.0
4429,D007889,692229,0.018183292475345808,0.0
4430,D007889,100113382,0.014064720981484374,0.0
4431,D007889,692058,0.011255709927982752,0.0
4432,D007889,692213,0.008554254181614485,0.0
4433,D007889,692214,0.015284942810220428,0.0
4434,D007889,692215,0.02086761306463969,0.0
4435,D007889,767561,0.009375617394590412,0.0
4436,D007889,767562,0.01538200598835375,0.0
4437,D007889,767563,0.011764996993016657,0.0
4438,D007889,767565,0.011285122645215286,1.0
4439,D007889,767566,0.014303329644966169,0.0
4440,D007889,767567,0.008997917890316573,0.0
4441,D007889,767568,0.01957272060607742,0.0
4442,D007889,767569,0.00826124757428515,0.0
4443,D007889,767577,0.012106133978657483,0.0
4444,D007889,767588,0.011156980994820612,0.0
4445,D007889,767589,0.012266393184257235,0.0
4446,D007889,767590,0.014910301741997586,0.0
4447,D007889,767591,0.012866938525439752,0.0
4448,D007889,767592,0.013590278302862364,0.0
